#
# New records
#
Weiyi,Meriste,1959-09-13,F,1993-02-14
Uri,Lenart,1959-08-27,F,1989-11-12
Magy,Stamatiou,1956-02-26,F,1993-03-21
Yishay,Tzvieli,1960-09-19,M,1990-10-20
Mingsen,Casley,1961-09-21,F,1994-05-21
Moss,Shanbhogue,1957-08-14,M,1989-09-02
Lucien,Rosenbaum,1960-07-23,M,1992-06-20
Zvonko,Nyanchama,1952-06-29,M,1989-03-31
Florian,Syrotiuk,1963-07-11,M,1985-02-24
Basil,Tramer,1961-04-24,F,1992-05-04
Yinghua,Dredge,1958-05-21,M,1990-12-25
Hidefumi,Caine,1953-07-28,M,1992-10-15
Heping,Nitsch,1961-02-26,M,1988-05-21
Sanjiv,Zschoche,1954-09-13,F,1986-02-04
Mayumi,Schueller,1957-04-04,M,1995-03-13
Georgy,Dredge,1956-06-06,M,1992-04-27
Brendon,Bernini,1961-09-01,F,1990-02-01
Ebbe,Callaway,1954-05-30,F,1992-01-15
Berhard,McFarlin,1954-10-01,M,1987-04-13
Alejandro,McAlpine,1953-09-19,F,1991-06-26
Breannda,Billingsley,1961-10-15,M,1987-11-02
Tse,Herber,1962-10-19,M,1985-09-17
Anoosh,Peyn,1961-11-02,M,1991-08-30
Gino,Leonhardt,1952-08-06,F,1989-04-08
Udi,Jansch,1959-04-07,M,1985-11-20
Satosi,Awdeh,1963-04-14,M,1988-05-18
Kwee,Schusler,1952-11-13,M,1986-02-26
Claudi,Stavenow,1953-01-07,M,1987-03-04
Charlene,Brattka,1962-11-26,M,1987-08-07
Margareta,Bierman,1960-09-06,F,1989-11-05
Reuven,Garigliano,1955-08-20,M,1985-10-14
Hisao,Lipner,1958-01-21,M,1987-10-01
Hironoby,Sidou,1952-05-15,F,1988-07-21
Shir,McClurg,1954-02-23,M,1991-12-01
Mokhtar,Bernatsky,1955-08-28,F,1990-08-13
Gao,Dolinsky,1960-03-09,F,1987-03-19
Erez,Ritzmann,1952-06-13,F,1985-07-09
Mona,Azuma,1964-04-18,M,1990-03-02
Danel,Mondadori,1959-12-25,F,1987-05-26
Kshitij,Gils,1961-10-05,F,1986-03-27
Premal,Baek,1957-12-03,M,1985-11-19
Zhongwei,Rosen,1960-12-17,M,1986-10-30
Parviz,Lortz,1963-09-09,M,1990-01-03
Vishv,Zockler,1959-07-23,M,1987-03-31
Tuval,Kalloufi,1960-05-25,M,1995-12-15
Kenroku,Malabarba,1962-11-07,M,1994-04-09
Somnath,Foote,1962-11-19,M,1990-02-16
Xinglin,Eugenio,1959-07-23,F,1986-09-08
Jungsoon,Syrzycki,1954-02-25,F,1988-09-02
Sudharsan,Flasterstein,1963-03-21,F,1986-08-12
Kendra,Hofting,1961-05-30,M,1986-03-14
Amabile,Gomatam,1955-10-04,M,1992-11-18
Valdiodio,Niizuma,1964-10-18,F,1989-09-22
Sailaja,Desikan,1964-06-11,M,1996-11-05
Arumugam,Ossenbruggen,1957-05-25,F,1987-04-18
Hilari,Morton,1965-01-03,M,1986-07-15
Jayson,Mandell,1954-09-16,M,1990-01-14
Remzi,Waschkowski,1952-02-27,M,1990-09-15
Sreekrishna,Servieres,1961-09-23,F,1985-05-13
Valter,Sullins,1956-05-25,F,1988-10-18
Hironobu,Haraldson,1953-04-21,F,1987-09-21
Perla,Heyers,1952-04-15,F,1992-12-28
Paraskevi,Luby,1959-11-04,F,1994-01-26
Akemi,Birch,1953-11-26,M,1986-12-02
Xinyu,Warwick,1961-11-19,M,1987-04-16
Hironoby,Piveteau,1962-02-05,M,1999-03-23
Eben,Aingworth,1952-08-29,M,1990-12-19
Dung,Baca,1956-06-13,F,1994-03-22
Lunjin,Giveon,1952-04-07,M,1986-10-02
Mariusz,Prampolini,1958-11-25,F,1993-06-16
Xuejia,Ullian,1957-03-07,F,1986-08-22
Hugo,Rosis,1963-08-29,F,1988-06-19
Yuichiro,Swick,1963-08-13,F,1985-10-08
Jaewon,Syrzycki,1963-11-13,M,1989-12-24
Munir,Demeyer,1957-02-16,F,1992-07-17
Chikara,Rissland,1964-12-25,M,1986-01-23
Dayanand,Czap,1955-08-26,F,1985-05-28
Kiyotoshi,Blokdijk,1961-10-24,F,1990-05-28
Zhonghui,Zyda,1957-03-29,F,1990-09-13
Domenick,Peltason,1960-12-01,M,1986-03-14
Armond,Fairtlough,1960-03-26,F,1996-07-06
Guoxiang,Ramsay,1962-07-14,M,1989-05-03
Ohad,Esposito,1965-01-19,M,1992-12-23
Hinrich,Randi,1962-05-12,M,1993-01-15
Geraldo,Marwedel,1962-05-23,M,1991-09-05
Syozo,Hiltgen,1957-09-13,F,1990-10-26
Kayoko,Valtorta,1954-08-07,M,1985-09-08
Subir,Baja,1952-02-24,F,1989-01-14
Babette,Lamba,1958-02-15,F,1988-06-06
Armond,Peir,1955-12-02,M,1985-12-10
Nishit,Casperson,1955-04-27,M,1988-06-21
Magdalena,Eldridge,1952-02-19,M,1994-11-17
Ayakannu,Skrikant,1956-12-15,M,1994-10-30
Giri,Isaak,1963-12-12,M,1985-12-15
Diederik,Siprelle,1953-04-15,M,1987-12-12
Nathan,Monkewich,1956-12-23,M,1988-02-19
Zissis,Pintelas,1961-09-14,M,1986-02-11
Maren,Hutton,1959-07-30,M,1985-02-18
Perry,Shimshoni,1955-04-24,M,1986-09-18
Ewing,Foong,1963-03-03,F,1998-03-15
Yucel,Auria,1957-03-11,F,1991-03-14
Shahaf,Ishibashi,1960-01-17,F,1993-05-06
Tzvetan,Hettesheimer,1956-08-29,M,1993-10-28
Sakthirel,Bakhtari,1961-07-16,M,1988-09-30
Marla,Brendel,1959-06-17,M,1985-10-14
Akemi,Esposito,1956-03-30,F,1987-08-01
Chenyi,Syang,1959-01-12,M,1988-06-28
Kazuhito,Encarnacion,1964-10-13,M,1986-08-21
Douadi,Azumi,1957-10-04,M,1995-10-10
Xiadong,Perry,1953-05-20,F,1986-11-05
Zhenbing,Perng,1955-01-29,F,1986-11-16
Itzchak,Lichtner,1959-03-06,M,1990-04-10
Jaques,Munro,1954-12-01,F,1986-01-27
Heekeun,Majewski,1955-12-15,M,1987-04-08
Abdulah,Thibadeau,1957-01-17,F,1990-12-12
Adas,Nastansky,1959-12-07,M,1990-01-05
Sumali,Fargier,1964-09-19,M,1985-03-10
Nigel,Aloisi,1954-04-23,M,1985-11-02
Khedija,Mitsuhashi,1958-04-01,M,1986-01-29
Serif,Buescher,1955-03-03,M,1991-05-29
Debatosh,Khasidashvili,1953-10-18,M,1989-01-30
Hairong,Mellouli,1953-04-06,F,1988-04-03
Florina,Eugenio,1957-10-05,M,1991-05-01
Karsten,Szmurlo,1952-09-17,M,1989-07-19
Jagoda,Braunmuhl,1956-01-19,M,1985-11-12
Miyeon,Macedo,1960-06-16,M,1988-05-17
Samphel,Siegrist,1953-05-10,F,1993-01-01
Duangkaew,Rassart,1958-05-23,M,1992-04-04
Dharmaraja,Stassinopoulos,1964-09-11,M,1986-12-06
Sampalli,Snedden,1961-05-03,F,1992-07-24
Kasturi,Jenevein,1960-10-03,F,1986-01-02
Herbert,Trachtenberg,1957-09-11,M,1989-07-22
Shigeu,Matzen,1957-03-25,F,1995-10-13
Shrikanth,Mahmud,1962-10-28,M,1992-03-21
Badri,Furudate,1959-05-15,M,1987-06-01
Aleksandar,Ananiadou,1960-01-11,F,1988-01-11
Brendon,Lenart,1957-01-24,F,1994-12-22
Pragnesh,Iisaka,1954-11-08,M,1993-02-06
Valery,Litvinov,1963-03-13,M,1986-10-07
Deniz,Duclos,1961-11-25,F,1990-10-04
Shaw,Wendorf,1956-01-29,M,1986-02-25
Sibyl,Nooteboom,1963-01-22,M,1988-06-22
Moriyoshi,Merey,1961-02-04,F,1990-09-02
Mechthild,Bonifati,1954-10-17,M,1996-08-11
Mihalis,Lowrie,1957-05-22,M,1987-10-29
Duro,Sidhu,1959-12-05,F,1986-03-01
Shigehito,Kropatsch,1953-07-16,M,1986-03-28
Tommaso,Narwekar,1961-05-26,F,1991-06-01
Christ,Muchinsky,1956-07-13,F,1987-08-27
Khalid,Erva,1955-11-12,M,1989-10-05
Arve,Fairtlough,1964-12-11,F,1986-06-23
Zdislav,Nastansky,1959-04-08,M,1986-04-10
Mohua,Falck,1960-09-16,M,1988-06-13
Masaru,Cheshire,1960-06-29,M,1991-07-28
Josyula,Hofmeyr,1954-01-29,F,1989-05-15
Annemarie,Redmiles,1963-11-13,M,1985-02-15
Marc,Hellwagner,1954-01-27,M,1994-11-16
Kasidit,Krzyzanowski,1963-08-06,F,1993-11-22
Pranav,Furedi,1953-05-28,M,1985-08-31
Kazuhisa,Ranta,1959-04-07,M,1997-04-29
Vidya,Awdeh,1961-12-31,M,1985-10-16
Idoia,Kavraki,1956-12-15,F,1986-11-22
Greger,Lichtner,1956-01-05,M,1991-10-06
Steen,Escriba,1955-07-27,M,1989-04-06
Nevio,Ritcey,1956-12-09,F,1986-12-04
Mabhin,Leijenhorst,1953-05-20,F,1993-08-23
Alassane,Iwayama,1960-09-19,F,1988-04-19
Girolamo,Anandan,1955-05-28,F,1992-10-11
Xiping,Klerer,1960-01-02,M,1991-12-23
Yolla,Ellozy,1956-12-12,F,1991-11-23
Yuping,Alpin,1958-01-24,M,1994-05-10
Vishu,Strehl,1964-08-05,F,1989-11-18
Divier,Esteva,1959-05-09,M,1990-07-11
Jackson,Kakkad,1964-05-24,M,1992-11-06
Tadahiko,Ciolek,1962-04-14,M,1988-02-29
Xiaobin,Duclos,1954-04-02,M,1987-10-19
Amstein,Ghemri,1958-07-16,M,1987-10-30
Yongmin,Roison,1954-07-07,F,1986-05-12
Zhenhua,Magalhaes,1958-12-07,M,1997-01-15
Genta,Kolvik,1952-05-02,M,1993-03-31
Kish,Fasbender,1958-05-25,F,1992-06-25
Yucai,Granlund,1957-01-03,M,1988-06-08
Tze,Nourani,1962-09-21,M,1986-06-08
Carrsten,Schmiedel,1963-09-17,F,1985-11-18
Leon,Trogemann,1954-05-17,M,1988-01-09
Kellie,Chinen,1957-02-13,F,1986-06-19
Xinglin,Plessier,1964-12-28,M,1989-10-27
Anneli,Kaiser,1957-07-04,M,1994-04-24
Karoline,Cesareni,1953-04-21,F,1991-08-26
Ulises,Takanami,1952-02-10,M,1987-11-22
Clyde,Vernadat,1955-09-11,M,1996-06-16
Shaowen,Desikan,1963-07-21,F,1996-04-13
Marko,Auria,1956-03-11,F,1992-06-04
Lein,Vendrig,1954-04-01,F,1985-07-05
Arunachalam,Bakhtari,1961-01-18,M,1990-11-19
Susanta,Roccetti,1958-03-27,F,1995-04-06
Susumu,Bade,1960-03-26,F,1996-08-30
Yannis,Mandell,1952-09-22,F,1989-08-11
Mototsugu,Gire,1964-11-02,F,1986-11-19
Nikolaos,Llado,1955-03-31,F,1995-05-08
Remko,Maccarone,1952-04-01,M,1998-10-06
Ortrud,Murillo,1958-07-01,M,1988-06-12
Lunjin,Ozeri,1964-02-22,M,1988-01-18
Wonhee,Pouyioutas,1960-12-22,M,1985-11-24
Foong,Flasterstein,1961-10-24,M,1985-12-23
Ramalingam,Gente,1962-08-23,F,1985-04-26
Basem,Teitelbaum,1962-06-23,M,1987-07-12
Heon,Riefers,1964-06-30,F,1992-08-14
Frederique,Tempesti,1955-09-24,F,1991-08-13
Marie,Boreale,1954-06-10,M,1991-12-08
Serap,Etalle,1958-08-12,M,1992-08-30
Alair,Rosenbaum,1957-04-25,M,1992-06-25
Shirish,Wegerle,1961-01-30,F,1990-11-08
Zsolt,Salinas,1964-11-12,F,1985-02-21
Shen,Brattka,1959-12-07,M,1990-06-14
Roddy,Garnick,1964-02-08,M,1993-05-12
Irene,Radhakrishnan,1960-12-02,M,1985-10-12
Aiman,Riexinger,1957-09-12,M,1986-08-05
Basil,Ishibashi,1955-12-12,F,1985-05-17
Susanna,Vesel,1964-11-24,M,1986-06-25
Alper,Suomi,1961-07-14,F,1991-04-13
Mang,Erie,1959-12-25,M,1993-10-20
Mahendra,Maraist,1955-08-04,F,1992-07-27
Takahiro,Waterhouse,1961-02-08,M,1994-02-05
Nalini,Kawashimo,1958-09-08,F,1997-07-16
Ramalingam,Muniz,1960-12-01,M,1989-07-13
Sukumar,Rassart,1958-02-24,M,1990-05-25
Shaunak,Cullers,1956-01-16,M,1996-12-11
Nishit,Siochi,1958-06-03,M,1986-12-17
Taizo,Oxman,1959-10-07,F,1988-07-24
Bedir,Hartvigsen,1963-01-30,F,1990-04-26
Sham,Eastman,1962-04-24,M,1986-05-23
Yishai,Cannane,1954-11-30,M,1988-05-23
Baocai,Lieblein,1962-08-29,M,1985-11-06
Dmitri,Pearson,1957-08-23,F,1991-04-21
Marek,Luck,1961-10-22,F,1987-09-08
Xuejun,Hempstead,1964-07-27,M,1985-07-21
Isaac,Schwartzbauer,1964-08-15,M,1985-06-16
Lubomir,Nitsch,1955-03-09,M,1991-05-17
Barton,Jumpertz,1964-08-20,F,1994-12-20
Stabislas,Delgrange,1964-10-29,M,1988-03-18
Moty,Kusakari,1953-05-13,M,1994-12-03
Hercules,Benzmuller,1953-11-27,M,1986-06-04
Kauko,Birjandi,1953-07-08,M,1988-05-25
Masali,Murrill,1954-04-08,F,1997-07-02
Zhonghui,Preusig,1956-09-21,F,1995-02-27
Saddek,Gopalakrishnan,1952-05-14,F,1988-03-21
Marie,Pietracaprina,1963-11-28,M,1992-12-28
Selwyn,Perri,1959-06-02,M,1994-08-29
Shay,Poulakidas,1956-11-30,M,1990-06-06
Yongmao,Pleszkun,1957-05-29,M,1991-09-18
Dipayan,Seghrouchni,1965-01-23,M,1986-09-29
Yucel,Ghelli,1963-01-27,F,1989-06-05
Mihalis,Avouris,1956-11-24,F,1992-12-12
Rutger,Miara,1955-01-05,M,1996-04-08
Kristine,Velardi,1953-01-13,M,1990-08-27
Petter,Lorho,1964-05-13,M,1989-09-16
Narain,Oaver,1956-06-17,F,1986-05-28
Dietrich,DuCasse,1954-07-06,F,1999-03-30
Ipke,Stentiford,1960-06-21,F,1990-01-10
Tadahiko,Ulupinar,1960-07-12,F,1991-05-17
Lucien,Staudhammer,1962-08-26,M,1988-05-23
Faiza,Baer,1954-10-11,F,1986-07-22
Marlo,Zschoche,1961-09-11,M,1990-02-05
Bernt,Erie,1956-03-07,M,1992-11-16
Hirochika,Piancastelli,1952-06-30,M,1988-10-31
Heng,Kilgour,1953-06-02,M,1993-09-06
Nikolaos,Leaver,1955-07-20,M,1991-04-10
Dzung,Holburn,1961-03-14,F,1992-12-29
Prodip,Schusler,1964-11-06,F,1985-06-20
Aksel,Alencar,1964-08-29,M,1990-10-24
Hsiangchu,Molenkamp,1958-11-24,F,1991-04-01
Rasiah,Deyuan,1957-06-18,F,1986-08-28
Subbu,Riexinger,1962-05-30,M,1994-10-10
Christfried,Apsitis,1961-05-04,M,1986-01-16
Maris,Angelopoulos,1956-08-03,M,1987-08-28
Christoper,Schwaller,1958-06-20,M,1987-09-04
Arie,Birge,1957-12-25,M,1986-12-10
Mototsugu,Beilner,1958-08-27,F,1985-06-29
Mechthild,Miyakawa,1963-03-09,M,1985-08-15
Uinam,Stasinski,1956-06-22,F,1988-11-03
Guenter,Ravishankar,1955-12-12,M,1991-09-24
Isamu,Dahlbom,1954-05-28,F,1990-01-29
Kankanahalli,Hinsberger,1958-06-20,M,1991-06-06
Bernardo,Rouquie,1957-12-29,F,1988-03-19
Arunachalam,Badr,1953-01-12,M,1990-09-20
Masali,Czap,1953-02-13,F,1985-05-13
Roded,Facello,1954-04-01,M,1987-09-18
Serenella,Kawashima,1955-06-28,M,1994-01-16
Remko,Shigei,1958-04-28,F,1986-01-20
Kasturi,Bellmore,1957-02-02,M,1985-06-12
Arto,Binkley,1961-08-12,M,1985-04-06
Masanao,Bain,1961-11-05,F,1988-06-08
Snehasis,Dymetman,1953-04-27,M,1993-01-16
Falguni,Erie,1958-04-02,M,1996-12-28
Toshimori,Bahi,1963-03-13,F,1992-04-06
Goa,Rothe,1961-07-16,F,1992-01-07
Jeong,Sadowsky,1957-12-10,M,1995-08-06
Heon,Ranai,1961-02-12,M,1988-09-01
Teunis,Liedekerke,1957-08-27,M,1989-11-30
Djelloul,Laventhal,1952-08-20,M,1987-06-05
Wilmer,Greenaway,1960-11-22,F,1987-04-29
Stella,Hiroyama,1960-03-17,F,1987-07-25
Dinah,Syrzycki,1954-11-01,M,1993-10-14
Uwe,Garnier,1957-07-24,F,1994-06-25
Arra,Ratnakar,1960-12-13,M,1993-11-08
Aamod,Radwan,1963-01-29,M,1987-01-27
Pradeep,Kaminger,1953-10-03,M,1985-12-12
Mahendra,Picco,1956-03-11,F,1995-10-22
Oksana,Brodie,1954-04-29,F,1991-09-28
Kristen,Kavvadias,1954-11-14,F,1990-08-19
Tadahiko,Strehl,1963-08-23,F,1985-03-07
Erzsebet,Ohori,1960-01-28,M,1996-01-21
Phule,Hammerschmidt,1953-01-15,M,1989-08-24
Moto,Kusakari,1961-04-21,M,1996-03-26
Satyanarayana,Cochrane,1952-12-10,M,1987-11-15
Vasilis,Standera,1952-08-12,M,1988-08-06
Hausi,Sidhu,1964-01-10,M,1994-04-04
Qunsheng,Tagansky,1953-04-08,M,1991-02-19
Heekeun,Sambasivam,1960-04-18,F,1991-05-09
Irene,Munck,1960-11-04,M,1996-09-04
Seshu,Sidou,1961-04-22,F,1986-10-23
Shalesh,dAstous,1963-09-16,M,1988-08-24
Toshiki,Muniz,1953-11-28,F,1985-09-11
Nakhoon,Dengi,1954-09-21,M,1985-11-14
Rosine,Granlund,1958-04-28,F,1987-06-02
Morrie,Piazza,1960-01-25,M,1994-04-11
Hyuckchul,Gini,1955-12-24,M,1991-06-24
Hatim,Koshiba,1956-03-25,M,1991-04-05
Qunsheng,Toyoshima,1957-01-08,M,1986-05-17
Clyde,Fandrianto,1957-08-03,M,1992-04-04
Ioana,Kirkerud,1959-02-10,M,1989-11-28
Anneli,Frijda,1952-04-08,F,1985-07-30
Hongzue,Heijenga,1959-01-08,M,1997-04-26
Willard,Rosin,1955-10-08,F,1993-12-08
Dante,Kalafatis,1957-10-09,F,1994-05-29
Fai,Bale,1959-02-12,M,1989-01-14
Marl,Grospietsch,1954-08-19,M,1990-05-07
Takahira,Lichtner,1964-09-05,M,1990-12-30
Mikhail,Rosis,1957-03-02,M,1996-07-15
Alejandro,Kamble,1956-05-25,F,1985-03-19
Jiong,Parfitt,1963-03-04,M,1991-12-04
Shirish,Dredge,1955-06-12,M,1990-07-04
Leucio,Aumann,1963-11-13,M,1991-06-19
Feiyu,Luft,1956-08-22,M,1986-01-16
Khatoun,Imataki,1963-05-14,M,1992-12-20
Eishiro,Miyakawa,1956-11-09,F,1985-08-02
Parto,Wrigley,1952-11-03,F,1987-02-19
Hironoby,Kaiser,1953-03-29,M,1996-03-24
Make,Peir,1953-03-24,M,1995-10-31
Wanqing,Bratten,1960-03-07,M,1989-05-17
Hongzue,Akaboshi,1956-06-13,M,1989-12-24
Jiann,Hainaut,1962-02-17,M,1992-03-01
Yagil,DasSarma,1958-03-24,M,1989-06-23
Shawna,Meriste,1957-05-22,M,1991-03-14
Takahiro,Deverell,1952-02-17,M,1987-02-04
Sibyl,Rahier,1955-08-21,M,1986-01-11
Irena,Reutenauer,1955-11-11,M,1993-05-21
Shooichi,Escriba,1958-07-16,F,1990-10-12
Guenter,Marchegay,1957-06-13,F,1985-05-07
Ortrud,Nitto,1961-12-16,M,1993-10-17
Eckart,Barriga,1962-04-25,M,1991-04-05
Volkmar,Ebeling,1953-07-23,M,1987-01-02
Atreyi,Mungall,1956-04-01,F,1991-09-13
Prodip,Rosti,1955-04-27,F,1988-08-28
Hilary,Budinsky,1957-01-20,F,1985-11-04
Sigeru,Wynblatt,1956-09-21,F,1987-03-11
Ulf,Siepmann,1955-07-05,M,1990-03-08
Martijn,Kaiser,1964-03-17,M,1998-10-07
Mario,Straney,1958-08-28,M,1997-07-09
Takahito,Gecsei,1965-01-19,F,1993-10-16
Lidong,Klerer,1956-07-10,F,1989-09-02
Masoud,Fabrizio,1958-02-26,F,1986-05-06
Danel,Impagliazzo,1952-05-05,F,1990-03-26
Yinlin,Alpin,1954-04-09,M,1990-05-30
Mark,Coorg,1957-11-12,M,1993-10-25
Uli,Keustermans,1956-05-26,M,1989-03-24
Bingning,Bakhtari,1964-02-02,M,1992-03-12
Candida,Porotnikoff,1952-06-29,F,1989-04-20
Maria,Bauknecht,1964-06-22,F,1992-04-25
Kaijung,Riesenhuber,1963-03-03,M,1988-01-17
Divine,Marzano,1959-03-22,M,1989-09-12
Greger,Rubsam,1954-06-02,F,1990-12-07
Dante,Cronin,1956-01-10,F,1998-09-06
Babette,Straney,1959-08-17,M,1989-08-07
Sashi,Osgood,1963-10-24,M,1991-10-29
Arunas,Luce,1955-12-28,F,1985-07-06
Khosrow,Sudbeck,1958-08-13,F,1991-11-01
Cathie,Brlek,1957-06-25,M,1992-06-04
Martien,Improta,1952-02-13,F,1986-03-09
Ferdinand,Chenney,1958-06-30,M,1990-11-16
Patricio,Bugrara,1961-05-25,M,1987-10-08
Hisao,Tiemann,1953-11-06,F,1985-04-30
Reuven,Dengi,1954-09-02,M,1989-02-14
Dzung,Peltason,1959-07-17,F,1995-06-27
Marsha,Tagansky,1957-10-12,M,1986-12-19
Yahiko,Lammel,1963-06-17,M,1988-01-30
Narain,Reeker,1956-07-07,F,1996-04-12
Evgueni,Srimani,1961-12-25,F,1990-01-19
Jolita,Jarecki,1958-04-09,M,1990-01-11
Akeel,Narahara,1959-04-10,F,1994-03-31
Adel,Perfilyeva,1958-04-27,M,1988-07-12
Volkmar,Unno,1955-09-09,M,1988-03-13
Shichao,Litvinov,1952-12-03,F,1989-08-01
Kazuhira,Rosis,1956-07-29,M,1993-03-31
Junichi,Kavanagh,1957-01-10,F,1987-11-04
Ebru,Chepyzhov,1960-02-08,F,1994-11-17
Ronghao,Yavatkar,1962-10-24,F,1988-12-29
Phule,Oxenboll,1963-12-10,F,1992-03-12
Aleksandar,Sudkamp,1959-09-28,M,1987-03-28
Khun,Harbusch,1959-11-05,M,1990-01-17
Bodh,Ranta,1952-10-06,F,1988-03-12
Werner,Hasham,1956-11-24,M,1988-09-05
Tsvetan,Matzel,1953-07-19,F,1985-04-02
Wonhee,Badr,1961-01-22,M,1987-04-10
Sverrir,Streng,1963-12-17,F,1989-02-14
Stepehn,Hardjono,1963-01-24,F,1995-12-25
Oddvar,Schlenzig,1963-11-10,M,1991-11-23
Gina,Engelmann,1961-01-06,F,1988-07-23
Ennio,Trogemann,1959-09-30,M,1997-06-28
Shushma,VanScheik,1963-02-19,M,1994-07-01
Gal,Karcich,1956-10-26,M,1987-08-03
Sumali,Schlenzig,1956-04-08,M,1996-03-25
Ung,Zaiane,1954-05-20,M,1987-12-25
Mang,Maginnis,1962-09-04,F,1989-10-09
Claudi,Shackel,1963-03-13,M,1987-09-01
Jiakeng,Himler,1954-12-25,M,1985-09-29
Dipayan,Suomi,1956-01-30,F,1988-07-14
Yoshimitsu,Shobatake,1960-08-28,M,1991-05-28
Munehiko,Ananiadou,1964-12-22,M,1985-06-05
Peternela,Iwayama,1956-04-12,M,1988-06-01
Jouko,Yamaashi,1963-11-30,M,1990-11-18
Salvador,Lodder,1959-08-20,M,1996-07-29
Przemyslawa,Oskamp,1963-10-13,M,1987-10-30
Kenton,Garnham,1962-02-24,F,1985-09-28
Mario,Rodite,1956-12-19,M,1987-01-19
Kokou,Iisaka,1965-01-01,M,1987-09-20
Guoxiang,Trogemann,1952-12-07,F,1989-03-04
Maik,Ushiama,1957-03-08,M,1992-06-09
Duro,Coney,1959-01-27,F,1987-02-28
Make,Baba,1965-01-25,F,1988-05-18
Yongmao,Pintelas,1959-10-18,F,1988-10-06
Goa,Pleszkun,1961-07-17,F,1991-07-20
Zhiwei,Anick,1957-03-13,M,1992-11-08
Nirmal,Varley,1961-08-30,F,1995-10-31
Teruyuki,Sundgren,1961-09-20,M,1985-10-27
Amstein,Kossowski,1952-08-24,F,1987-10-08
Perla,Middleton,1956-08-23,F,1992-08-14
Mihalis,Heering,1959-10-17,M,1994-06-09
Elvia,Homond,1958-08-24,M,1989-09-10
Huiqun,Vuskovic,1961-09-28,F,1992-10-07
Garnik,Narahari,1964-09-09,M,1990-01-17
Lobel,Kumaresan,1957-04-03,M,1988-04-24
Maris,Haraldson,1962-01-12,M,1992-05-16
Yakkov,Servieres,1953-12-21,F,1986-01-18
Anyuan,Zhiwei,1961-05-24,F,1985-09-29
Gretta,Baig,1959-04-18,M,1987-02-26
Pramod,Rabehasaina,1953-06-09,M,1992-01-22
Valter,Cappelletti,1964-09-15,F,1988-02-01
Maik,Luft,1953-10-04,F,1989-11-23
Vojin,Narwekar,1957-04-29,M,1996-12-16
Susuma,Larfeldt,1962-09-09,M,1987-04-20
Yonghoan,Marshall,1957-10-07,M,1993-03-04
Dannz,Pell,1952-05-17,M,1991-04-30
Xiong,Varker,1953-04-07,M,1988-12-03
Isamu,Auria,1964-02-04,M,1985-07-23
Kazuhisa,Kroll,1958-10-06,F,1996-12-01
Kasidit,Belinskaya,1964-02-18,M,1985-04-26
Kotesh,Liedekerke,1962-06-02,M,1991-05-01
Abdelwaheb,Riesenhuber,1953-10-03,F,1990-02-23
Keung,Slobodova,1960-02-13,F,1990-04-20
Khoa,Marrevee,1963-06-18,M,1992-01-27
Udi,Gihr,1955-11-16,M,1986-01-12
Yuichiro,Schicker,1959-07-07,F,1991-04-02
Tomofumi,McClure,1963-04-03,M,1992-04-29
Raimond,Kirkerud,1963-12-15,M,1989-10-28
Xiadong,Luga,1960-02-20,M,1985-10-19
Tiina,Speek,1953-06-18,M,1990-12-25
Marin,Lanphier,1963-05-23,M,1993-09-03
